Product,Type,Category,Fabric,Release,Colors,Price,Re-up,Historic,MWU,InSitu,Image,Release Name
Merino Watch Cap,Cap,Accessory,Merino,2017-10-03,"Black, Brutal Earth, Charcoal, Maroon",77,TRUE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/merino-watch-cap.html,https://outlier.nyc/productentries/products/merinowatchcap/201-Outlier-MerinoWatchCap-brutalearth.jpg,
Ultrafine Merino T-Shirt,T-Shirt,Clothes,Merino,2017-10-03,"Dark Midnight, Fired Clay",110,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/ultrafine-merino-tee.html,https://outlier.nyc/productentries/products/ultrafinemerinotshirt/201-Outlier-UltrafineMerinoTshirt-firedclay.jpg,
Alphacharge Track Jacket,Outerwear,Clothes,Alphacharge,2017-09-28,"Black, Blackmarine, Shock Blue",425,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/alphacharge-track-jacket.html,https://outlier.nyc/productentries/products/alphachargetrackjacket/202-Outlier-AlphachargeTrackJacket-blackmarine.jpg,
Alphacharge Bandana,Bandana,Accessory,Alphacharge,2017-09-26,"Black, Blackmarine, Shock Blue",98,TRUE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/alphacharge-bandana.html,https://outlier.nyc/productentries/products/alphachargebandana/203-Outlier-AlphachargeBandana-shockblue.jpg,
Alphacharge Vest,Vest,Clothes,Alphacharge,2017-09-26,"Black, Blackmarine, Shock Blue",295,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/alphacharge-vest.html,https://outlier.nyc/productentries/products/alphachargevest/202-Outlier-AlphachargeVest-blackmarine.jpg,
Doublefine Merino Hoodie,Hoodie,Clothes,Merino,2017-09-26,"Allspice, Black, Dark Gray, Deep Tan, Gray Sky, Navy",275,TRUE,FALSE,Men,http://shop.outlier.cc/retail/doublefinehoodie.html,https://outlier.nyc/productentries/products/doublefinemerinohoodie/205-Outlier-DoublefineMerinoHoodie-allspice.jpg,
Doublefine Merino Pullover,Sweater,Clothes,Merino,2017-09-26,"Allspice, Black, Dark Gray, Deep Tan, Gray Sky, Navy",198,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/merino-pullover.html,https://outlier.nyc/productentries/products/doublefinemerinopullover/206-Outlier-DoublefineMerinoPullover-deeptan.jpg,
Doublefine Merino Pullover Hoodie,Hoodie,Clothes,Merino,2017-09-26,"Allspice, Black, Dark Gray, Deep Tan, Gray Sky, Navy",250,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/doublefine-merino-pullover-hoodie.html,https://outlier.nyc/productentries/products/doublefinemerinopulloverhoodie/203-Outlier-DoublefineMerinoPulloverHoodie-graysky.jpg,
GD Cottonweight Merino T-Shirt,T-Shirt,Clothes,Cottonweight Merino,2017-09-19,"GD Black, GD Brutal Tan, GD Fuchsia Decay",125,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/gd-cottonweight-merino-tshirt.html,https://outlier.nyc/productentries/products/gdcottonweightmerinotshirt/202-Outlier-GDCottonweightTshirt-GDFuchsiadecay.jpg,
Deck Jacket,Outerwear,Clothes,Strongtwill/Strongwool Fleece,2017-09-19,"Gray, Black",625,TRUE,FALSE,Men,http://shop.outlier.nyc/shop/retail/deck-jacket.html,https://outlier.nyc/productentries/products/deckjacket/203-Outlier-DeckJacket-gray.jpg,
Strong Dungarees,Pants,Clothes,Strongtwill,2017-09-14,"Dark Olive, Gray",188,TRUE,FALSE,Men,http://shop.outlier.nyc/shop/retail/strong-dungarees.html,https://outlier.nyc/productentries/products/strongdungarees/204-Outlier-StrongDungarees-gray.jpg,
Strong Dungarees,Pants,Clothes,Strongtwill,2017-09-12,Black,188,TRUE,FALSE,Men,http://shop.outlier.nyc/shop/retail/strong-dungarees.html,https://outlier.nyc/productentries/products/strongdungarees/201-Outlier-StrongDungarees-black-front.jpg,
Merino Co/Weight Sweatpants,Sweatpants,Clothes,Co/Weight Cotton,2017-09-06,"Gray, Black",225,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/merino-coweight-sweatpants.html,https://outlier.nyc/productentries/products/merinocoweightsweatpants/203-Outlier-MerinoCoweightSweatpants-gray.jpg,
Co/Weight Merino Zip Front Hoodie,Hoodie,Clothes,Co/Weight Cotton,2017-09-06,"Tan, Olive, Gray, Black",298,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/coweight-merino-zip-front-hoodie.html,https://outlier.nyc/productentries/products/merinocoweightzipfronthoodie/202-Outlier-MerinoCoweightZipFrontHoodie-tan.jpg,
Co/Weight Merino Pullover Hoodie,Hoodie,Clothes,Co/Weight Cotton,2017-09-06,"Tan, Olive, Gray, Black",248,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/coweight-merino-pullover-hoodie.html,https://outlier.nyc/productentries/products/merinocoweightpulloverhoodie/203-Outlier-MerinoCoweightPulloverHoodie-gray.jpg,
Co/Weight Crewneck Sweatshirt,Sweatshirt,Clothes,Co/Weight Cotton,2017-09-06,"Tan, Olive, Gray, Black",198,TRUE,FALSE,Men,http://shop.outlier.nyc/shop/retail/coweight-crewneck-sweatshirt.html,https://outlier.nyc/productentries/products/merinocoweightcrewneck/205-Outlier-MerinoCoweightCrewneck-olive.jpg,
Experiment 038 - F.Cloth Hard Shirt,Shirt,Clothes,F. Cloth,2017-08-29,"Copper Dawn, Dark Navy, Zinc",198,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-038-fcloth-hard-shirt.html,https://outlier.nyc/productentries/products/experiment038fclothhardshirt/204-Outlier-FClothHardShirt-copperdawn.jpg,
Experiment 039 - S120 Two Pocket,Shirt,Clothes,S120 Twill,2017-08-22,Black,295,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-039-s120-two-pocket.html,https://outlier.nyc/productentries/products/experiment039s120twopocket/201-Outlier-S120TwoPocket-black-front.jpg,
Experiment 034 - Ultrahigh Waterfall System,Bag,Accessory,Dyneema,2017-08-22,Black,425,FALSE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/experiment-034-ultrahigh-waterfall-system.html,https://outlier.nyc/productentries/products/ultrahighwaterfallsystem/201-Outlier-UltrahighWaterfallSystem-full.jpg,
GD Cottonweight Merino T-Shirt,T-Shirt,Clothes,Cottonweight Merino,2017-08-17,"GD Cherry Magenta, GD Dark Marine, GD Mid Gray",125,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/gd-cottonweight-merino-tshirt.html,https://outlier.nyc/productentries/products/gdcottonweightmerinotshirt/203-Outlier-GDCottonweightMerinoTShirt-cherrymagenta.jpg,
Experiment 033 - Paper Nylon Tote,Bag,Accessory,Paper Nylon,2017-08-15,Black,225,FALSE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/experiment-033-paper-nylon-tote.html,https://outlier.nyc/productentries/products/papernylontote/201-Outlier-PaperNylonTote-front.jpg,
Ultrafine Merino T-Shirt,T-Shirt,Clothes,Merino,2017-08-15,"Black, Blueshadow",110,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/ultrafine-merino-tee.html,https://outlier.nyc/productentries/products/ultrafinemerinotshirt/201-Outlier-UltrafineMerinoTShirt-blueshadow.jpg,
Rolltop Dopp,Dopp Kit,Accessory,Dyneema,2017-08-15,Black,175,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/rolltop-dopp.html,http://shop.outlier.cc/shop/media/catalog/product/cache/2/image/880x/17f82f742ffe127f42dca9de82fb58b1/1/0/101-outlier-duffledop-lead.jpg,
OG Classics,Pants,Clothes,OG,2017-08-15,"Black, Stone Blue",248,TRUE,FALSE,Men,http://shop.outlier.nyc/shop/retail/og-classics.html,https://outlier.nyc/productentries/products/ogclassics/201-Outlier-OGClassics-stoneblue.jpg,
Slim Dungarees,Pants,Clothes,Workcloth,2017-08-10,Black,198,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/slim-dungarees.html,https://outlier.nyc/productentries/products/slimdungarees/%20/201-OUTLIER-SlimDungarees-Black.jpg,
Experiment 032 - Albini Merino Broadcloth Button Up,Shirt,Clothes,Albini Merino Broadcloth,2017-08-08,"Navy, Midblue",265,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-032-albini-merino-broadcloth-button-up.html,https://outlier.nyc/productentries/products/ambbuttonup/202-Outlier-AlbiniButtonUp-midblue.jpg,
Experiment 031 - Albini Merino Broadcloth Hidden Placket,Shirt,Clothes,Albini Merino Broadcloth,2017-08-08,"Navy, Midblue",265,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-031-albini-merino-broadcloth-hidden-placket.html,https://outlier.nyc/productentries/products/ambhiddenplacket/203-Outlier-AlbiniHiddenPlacket-midblue.jpg,
Experiment 030 - Albini Merino Broadcloth Y-Front,Shirt,Clothes,Albini Merino Broadcloth,2017-08-08,"Navy, Midblue",275,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-030-albini-merino-broadcloth-y-front.html,https://outlier.nyc/productentries/products/ambyfront/203-Outlier-AlbiniYFront-midblue.jpg,
Ultrahigh Rolltop,Backpack,Accessory,Dyneema,2017-08-01,Black,475,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/ultrahigh-rolltop.html,http://shop.outlier.cc/shop/media/catalog/product/cache/2/small_image/200x300/9df78eab33525d08d6e5fb8d27136e95/o/u/outlier-ultrahighbackpack-shop2.jpg,
Experiment 037 - Linoco Soft Jacket,Outerwear,Clothes,Linen/Cotton,2017-08-01,GD Black,350,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-037-linoco-soft-jacket.html,https://outlier.nyc/productentries/products/linocosoftjacket/201-Outlier-LinocoSoftJacket-front.jpg,
Experiment 036 - Linoco Shorts,Shorts,Clothes,Linen/Cotton,2017-08-01,GD Black,188,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-036-linoco-shorts.html,https://outlier.nyc/productentries/products/linocoshorts/201-Outlier-LinocoShorts-front.jpg,
Experiment 035 - Linoco Pants,Pants,Clothes,Linen/Cotton,2017-08-01,GD Black,198,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-035-linoco-pants.html,https://outlier.nyc/productentries/products/linocopants/201-Outlier-LinocoPants-front.jpg,
60/30 Chinos,Pants,Clothes,“60/30”,2017-08-01,"Black, Dark Marine, New Copper",267,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/chino.html,https://outlier.nyc/productentries/products/6030chino/201-Outlier-6030Chino-newcopper.jpg,
Experiment 029 - Injected Linen Wide Legs,Pants,Clothes,Injected Linen,2017-07-25,GD Gray,295,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-029-injected-linen-wide-legs.html,https://outlier.nyc/productentries/products/injectedlinenwidelegs/201-Outlier-InjectedLinenWideLegs-front.jpg,
Experiment 028 - Injected Linen Parka,Outerwear,Clothes,Injected Linen,2017-07-25,White,425,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-028-injected-linen-parka.html,https://outlier.nyc/productentries/products/injectedlinensunparka/201-Outlier-InjectedLinenSunParka-front.jpg,
Experiment 027 - Ultra Ultra Hyper Splits,Shorts,Clothes,Ultra Ultra,2017-07-20,Charcoal,250,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-027-ultra-ultra-hyper-splits.html,https://outlier.nyc/productentries/products/ultraultrahypersplits/201-Outlier-UltraUltraHyperSplits-Front.jpg,
Experiment 026 - Ultra Ultra Poncho,Outerwear,Clothes,Ultra Ultra,2017-07-20,Charcoal,495,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-026-ultra-ultra-poncho.html,https://outlier.nyc/productentries/products/ultraultraponcho/201-Outlier-UltraUltraPoncho-charcoal.jpg,
Injected Linen Pants,Pants,Clothes,Injected Linen,2017-07-18,GD Gray,198,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/injected-linen-pants.html,https://outlier.nyc/productentries/products/injectedlinenpants/201-Outlier-InjectedLinenPants-GDGray.jpg,
Runweight Merino V-Neck,T-Shirt,Clothes,Runweight Merino,2017-07-18,"Flat Black, Stone Purple",98,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/runweight-merino-v-neck.html,https://outlier.nyc/productentries/products/runweightmerinovneck/202-Outlier-RunweightMerinoVNeck-stonepurple.jpg,
Runweight Merino Long Sleeve,T-Shirt,Clothes,Runweight Merino,2017-07-18,"Flat Black, Stone Purple",120,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/runweight-merino-long-sleeve.html,https://outlier.nyc/productentries/products/runweightmerinolongsleeve/202-Outlier-RunweightMerinoLongsleeve-StonePurple.jpg,
Runweight Merino T-Shirt,T-Shirt,Clothes,Runweight Merino,2017-07-18,"Flat Black, Stone Purple",88,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/runweight-merino-tshirt.html,https://outlier.nyc/productentries/products/runweightmerinotshirt/202-Outlier-RunweightMerinoTShirt-stonepurple.jpg,
Nyco Oxford,Shirt,Clothes,Nyco,2017-07-18,"Charged Gray, Ocean Blue, Oxford Blue, White, Chambray Blue",120,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/nyco-oxford.html,https://outlier.nyc/productentries/products/nycooxford/203-Outlier-NycoOxford-oceanblue.jpg,
Slim Dungarees,Pants,Clothes,Workcloth,2017-07-18,"Chesnut, Plum Slate, Charcoal",198,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/slim-dungarees.html,https://outlier.nyc/productentries/products/slimdungarees/201-Outlier-SlimDungarees-chestnut.jpg,
Ramielust T-Shirt,T-Shirt,Clothes,Ramie,2017-07-11,"Lavender, Navy, Olive, Teal, White",125,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/ramielust-tshirt.html,https://outlier.nyc/productentries/products/ramielusttshirt/203-Outlier-RamielustTshirt-lavender.jpg,
Experiment 025 - Ultralight Hooded Scarf,Scarf,Accessory,Ultralight,2017-07-11,Cloudshadow,198,FALSE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/experiment-025-ultralight-hooded-scarf.html,https://outlier.nyc/productentries/products/ultralighthoodedscarf/202-Outlier-UltralightHoodedScarf-back.jpg,
OG Climbers,Pants,Clothes,OG,2017-07-06,"Black, Stone Blue",220,TRUE,FALSE,Men,http://shop.outlier.nyc/shop/retail/og-climbers.html,https://outlier.nyc/productentries/products/OGclimbers/205-Outlier-OGClimbers-stoneblue.jpg,
Supermarine Fuck It Hat,Hat,Accessory,Supermarine,2017-07-06,"Black, Olive",198,TRUE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/supermarine-fuck-it-hat.html,https://outlier.nyc/productentries/products/supermarinefuckithat/204-Outlier-SupermarineFuckItHat-olive-top.jpg,
Ramielust T-Shirt,T-Shirt,Clothes,Ramie,2017-06-27,"Olive, Navy",125,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/ramielust-tshirt.html,https://outlier.nyc/productentries/products/ramielusttshirt/203-Outlier-RamieLustT-olive.jpg,
Ultrafine Merino Long Sleeve,T-Shirt,Clothes,Merino,2017-06-27,"Smoke, Gray Light, Dusk Blue",120,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/ultrafine-merino-long-sleeve.html,https://outlier.nyc/productentries/products/ultrafinemerinolongsleeve/204-Outlier-UltrafineMerinoLongsleeve-smoke.jpg,
Ultrafine Merino V-Neck,T-Shirt,Clothes,Merino,2017-06-27,"Smoke, Gray Light, Dusk Blue",120,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/ultrafine-merino-v-neck.html,https://outlier.nyc/productentries/products/ultrafinemerinovneck/202-Outlier-UltrafineMerinoVNeck-duskblue.jpg,
Ultrafine Merino T-Shirt,T-Shirt,Clothes,Merino,2017-06-22,"Dusk Blue, Gray Light, Smoke",98,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/ultrafine-merino-tee.html,https://outlier.nyc/productentries/products/ultrafinemerinotshirt/202-Outlier-UltrafineMerinoTshirt-smoke.jpg,
Experiment 024 - End of Worlds,Pants,Clothes,Dyneema,2017-06-22,Black Indigo,450,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-024-end-of-worlds.html,https://outlier.nyc/productentries/products/endoftheworlds/201-Outlier-Experiment024-EndoftheWorlds-front.jpg,
Ultralight Track Pants,Sweatpants,Clothes,Ultralight,2017-06-20,"Black, Midnight, Dark Rust",198,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/ultralight-track-pants.html,https://outlier.nyc/productentries/products/ultralighttrackpants/204-Outlier-UltralightTrackPants-darkrust.jpg,
60/30 Chinos,Pants,Clothes,“60/30”,2017-06-20,"Copper, Bluegray, Dark Marine, Taupe Tan",248,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/chino.html,https://outlier.nyc/productentries/products/6030chino/205-Outlier-6030Chino-taupetan.jpg,
Injected Linen Popover,Shirt,Clothes,Injected Linen,2017-06-13,"Black, GD Copper, GD Sky Blue",255,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/injected-linen-popover.html,https://outlier.nyc/productentries/products/injectedlinenpopover/204-Outlier-InjectedLinenPopover-GDCopper.jpg,
Injected Linen Pants,Pants,Clothes,Injected Linen,2017-06-13,"GD Olive, GD Slate Blue",198,TRUE,FALSE,Men,https://shop.outlier.nyc/shop/retail/injected-linen-pants.html,https://outlier.nyc/productentries/products/injectedlinenpants/201-Outlier-InjectedLinenPants-GDSlateBlue-prod.jpg,
Beach Thing,Outerwear,Clothes,Linen,2017-06-08,"Blue Wing, Mid Indigo, Natural, Seaglass, Gray Rock",150,FALSE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/beach-thing.html,https://outlier.nyc/productentries/products/beachthing/203-Outlier-BeachThing-seaglass.jpg,
Nyco Oxford,Shirt,Clothes,Nyco,2017-06-06,"New Light Gray, Navy Marine, Burgundy Deep",98,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/nyco-oxford.html,https://outlier.nyc/productentries/products/nycooxford/201-Outlier-NycoOxford-burgundydeep.jpg,
Grid Linen Towel L,Towel,Accessory,Linen,2017-06-06,"Gray Rock, Sea Glass, Natural",50,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/grid-linen-towel.html,https://outlier.nyc/productentries/products/gridlinentowel/201-Outlier-GridLinenTowel-grayrock.jpg,
Grid Linen Towel XL,Towel,Accessory,Linen,2017-06-06,"Gray Rock, Sea Glass, Natural",88,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/grid-linen-towel.html,https://outlier.nyc/productentries/products/gridlinentowel/201-Outlier-GridLinenTowel-grayrock.jpg,
Futureworks,Pants,Clothes,F. Cloth,2017-06-01,"Dark Navy, Flat Black, Dust Olive, Sandstorm, Charcoal Gray",140,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/futureworks.html,https://outlier.nyc/productentries/products/futureworks/201-Outlier-Futureworks-charcoalgray.jpg,
Injected Linen Hooded,Outerwear,Clothes,Injected Linen,2017-05-30,Black 2,425,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/injected-linen-hooded.html,https://outlier.nyc/productentries/products/injectedlinenhooded/201-Outlier-InjectedLinenHooded-black2.jpg,
Megafine Merino Lows,Socks,Clothes,Merino,2017-05-25,"Midnight Gray, Black",20,TRUE,FALSE,Unisex,http://shop.outlier.cc/shop/retail/megafine-merino-lows.html,https://outlier.nyc/productentries/products/megafinemerinolows/201-Outlier-MegafineMerinoLows-midnightgray-sideshot.jpg,
Experiment 023 - Unfinished Nothing,Outerwear,Clothes,Dreamweight Merino,2017-05-23,Black,150,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-023-unfinished-nothing.html,https://outlier.nyc/productentries/products/experiment023unfinishednothing/201-Outlier-Experiment023-UnfinishedNothing-front.jpg,
Experiment 022 - Dreamweight Hoodie,Hoodie,Clothes,Dreamweight Merino,2017-05-23,Black,198,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-022-dreamweight-hoodie.html,https://outlier.nyc/productentries/products/experiment022dreamweighthoodie/201-Outlier-Experiment022-DreamweightHoodie-front.jpg,
Experiment 021 - Unfinished Longsleeve,T-Shirt,Clothes,Dreamweight Merino,2017-05-23,Black,150,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/experiment-021-unfinished-longsleeve.html,https://shop.outlier.nyc/shop/media/catalog/product/cache/2/blog_entry_photo/17f82f742ffe127f42dca9de82fb58b1/o/u/outlier-experiment021-unfinishedlongsleeve-backofcard.jpg,
Supermarine Fuck It Hat,Hat,Accessory,Supermarine,2017-05-23,"Anthracite, Black",198,TRUE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/supermarine-fuck-it-hat.html,https://outlier.nyc/productentries/products/supermarinefuckithat/205-Outlier-SupermarineFuckItHat-anthracite-above.jpg,
Injected Linen Pants,Pants,Clothes,Injected Linen,2017-05-16,Black 2,198,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/injected-linen-pants.html,https://outlier.nyc/productentries/products/injectedlinenpants/203-Outlier-InjectedLinenPants-black2.jpg,
Injected Linen Shorts,Shorts,Clothes,Injected Linen,2017-05-16,Black 2,165,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/injected-linen-shorts.html,https://outlier.nyc/productentries/products/injectedlinenshorts/201-Outlier-InjectedLinenShorts-black2.jpg,
Ramielust T-Shirt,T-Shirt,Clothes,Ramie,2017-05-09,"Black, Brown, Navy, Sand",125,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/ramielust-tshirt.html,https://outlier.nyc/productentries/products/ramielusttshirt/201-Outlier-RamielustTshirt-sand.jpg,
Injected Linen Doublebreasted,Outerwear,Clothes,Injected Linen,2017-05-09,Black 1,495,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/injected-linen-doublebreasted.html,https://outlier.nyc/productentries/products/injectedlinendoublebreasted/201-Outlier-InjectedLinenDoubleBreasted-front.jpg,
Injected Linen Pleated,Pants,Clothes,Injected Linen,2017-05-09,Black 1,248,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/injected-linen-pleated.html,https://outlier.nyc/productentries/products/injectedlinenpleated/201-Outlier-InjectedLinenPleated-front.jpg,
Ultrahigh Big Box Bag,Bag,Accessory,Dyneema,2017-05-02,Black,175,FALSE,FALSE,Unisex,https://shop.outlier.nyc/shop/retail/ultrahigh-big-box-bag.html,https://outlier.nyc/productentries/products/ultrahighbigboxbag/201-Outlier-UltrahighBigBoxBag-front.jpg,
Openweight Merino Longsleeve,T-Shirt,Clothes,Openweight Merino,2017-05-02,Black,140,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/openweight-merino-longsleeve.html,http://outlier.cc/productentries/products/openweightmerinolongsleeve/201-OUTLIER-OpenweightMerinoLongsleeve-Front.jpg,
Slim Dungarees,Pants,Clothes,Workcloth,2017-04-27,"Black, Bluetint Gray, Steel, Sandshadow",198,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/slim-dungarees.html,https://outlier.nyc/productentries/products/slimdungarees/201-Outlier-SlimDungarees-phasegray-flat.jpg,
Slim Dungarees (Long),Pants,Clothes,Workcloth,2017-04-27,Sandshadow,198,TRUE,FALSE,Men,http://shop.outlier.cc/shop/retail/slim-dungarees.html,https://outlier.nyc/productentries/products/slimdungarees/202-Outlier-SlimDungarees-palesteel-flat.jpg,
Southern Ramie Pivot,Shirt,Clothes,Ramie,2017-04-25,"GD Purple Slate, GD Teal, GD Navy",150,FALSE,FALSE,Men,https://shop.outlier.nyc/shop/retail/southern-ramie-pivot.html,https://outlier.nyc/productentries/products/southernramiepivot/204-Outlier-SouthernRamiePivot-GDTeal.jpg,
